suite,task,scale,difficulty,category,version,official_group,repo,commit,mode,repeat,oracle,provider,model,harness_backend,execution_boundary,trace_backend,wall_s,recovery_wall_s,prompt_tokens,completion_tokens,total_tokens,tool_calls,usage_source,model_calls,harness_returncode,harness_stdout,harness_stderr,recovery_ledger_steps,rollback_targets,regenerated_paths,independent_retained,independent_unchanged,documents_valid,derived_removed,host_leak_before_commit,tests_rc,tests_ok,finished,finish_called,committed,success,injected,error,verifier_stdout,verifier_stderr
swe,astropy__astropy-12907,medium,,astropy/astropy,4.3,astropy/astropy,astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,causal,0,True,oracle,oracle,oracle,oracle,strace,29.696169,18.311871,0,0,0,0,oracle,0,0,,,3,"[0, 3, 4]","[""tmp/agenttx-swe-astropy__astropy-12907-causal-0-qaj4mfvz/repo/.agenttx_oracle.diff"", ""tmp/agenttx-swe-astropy__astropy-12907-causal-0-qaj4mfvz/repo/astropy"", ""tmp/agenttx-swe-astropy__astropy-12907-causal-0-qaj4mfvz/repo/astropy/modeling"", ""tmp/agenttx-swe-astropy__astropy-12907-causal-0-qaj4mfvz/repo/astropy/modeling/separable.py""]",True,False,True,True,False,0,True,True,True,True,True,"{""prefix_steps"": [], ""root_step"": 0, ""independent_steps"": [1, 2], ""derived_step"": 3, ""test_run_step"": 4, ""root_is_parent_of_derived"": true, ""root_is_parent_of_tests"": true, ""independent_is_parent_of_derived"": false, ""tests_failed"": true}",,"Internet access disabled
..                                                                       [100%]
2 passed in 0.29s
","<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject
"
swe,astropy__astropy-12907,medium,,astropy/astropy,4.3,astropy/astropy,astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,temporal_checkpoint,0,True,oracle,oracle,oracle,oracle,strace,22.532889,10.942197,0,0,0,0,oracle,0,0,,,3,"[0, 1, 2, 3, 4]","[""tmp/agenttx-swe-astropy__astropy-12907-temporal_checkpoint-0-e6riifoe/repo/.agenttx_oracle.diff"", ""tmp/agenttx-swe-astropy__astropy-12907-temporal_checkpoint-0-e6riifoe/repo/astropy"", ""tmp/agenttx-swe-astropy__astropy-12907-temporal_checkpoint-0-e6riifoe/repo/astropy/modeling"", ""tmp/agenttx-swe-astropy__astropy-12907-temporal_checkpoint-0-e6riifoe/repo/astropy/modeling/separable.py""]",False,False,False,True,False,0,True,True,True,True,False,"{""prefix_steps"": [], ""root_step"": 0, ""independent_steps"": [1, 2], ""derived_step"": 3, ""test_run_step"": 4, ""root_is_parent_of_derived"": true, ""root_is_parent_of_tests"": true, ""independent_is_parent_of_derived"": false, ""tests_failed"": true}",,"Internet access disabled
..                                                                       [100%]
2 passed in 0.29s
","<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject
"
swe,astropy__astropy-12907,medium,,astropy/astropy,4.3,astropy/astropy,astropy/astropy,d16bfe05a744909de4b27f5875fe0d4ed41ce607,whole_branch_abort,0,True,oracle,oracle,oracle,oracle,strace,22.282503,10.86603,0,0,0,0,oracle,0,0,,,3,"[0, 1, 2, 3, 4]","[""tmp/agenttx-swe-astropy__astropy-12907-whole_branch_abort-0-caug5t3v/repo/.agenttx_oracle.diff"", ""tmp/agenttx-swe-astropy__astropy-12907-whole_branch_abort-0-caug5t3v/repo/astropy"", ""tmp/agenttx-swe-astropy__astropy-12907-whole_branch_abort-0-caug5t3v/repo/astropy/modeling"", ""tmp/agenttx-swe-astropy__astropy-12907-whole_branch_abort-0-caug5t3v/repo/astropy/modeling/separable.py""]",False,False,False,True,False,0,True,True,True,True,False,"{""prefix_steps"": [], ""root_step"": 0, ""independent_steps"": [1, 2], ""derived_step"": 3, ""test_run_step"": 4, ""root_is_parent_of_derived"": true, ""root_is_parent_of_tests"": true, ""independent_is_parent_of_derived"": false, ""tests_failed"": true}",,"Internet access disabled
..                                                                       [100%]
2 passed in 0.31s
","<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject
"
swe,astropy__astropy-14182,medium,,astropy/astropy,5.1,astropy/astropy,astropy/astropy,a5917978be39d13cd90b517e1de4e7a539ffaa48,causal,0,True,oracle,oracle,oracle,oracle,strace,23.675424,12.583509,0,0,0,0,oracle,0,0,,,3,"[0, 3, 4]","[""tmp/agenttx-swe-astropy__astropy-14182-causal-0-795bx_0y/repo/.agenttx_oracle.diff"", ""tmp/agenttx-swe-astropy__astropy-14182-causal-0-795bx_0y/repo/astropy"", ""tmp/agenttx-swe-astropy__astropy-14182-causal-0-795bx_0y/repo/astropy/io"", ""tmp/agenttx-swe-astropy__astropy-14182-causal-0-795bx_0y/repo/astropy/io/ascii"", ""tmp/agenttx-swe-astropy__astropy-14182-causal-0-795bx_0y/repo/astropy/io/ascii/rst.py""]",True,False,True,True,False,0,True,True,True,True,True,"{""prefix_steps"": [], ""root_step"": 0, ""independent_steps"": [1, 2], ""derived_step"": 3, ""test_run_step"": 4, ""root_is_parent_of_derived"": true, ""root_is_parent_of_tests"": true, ""independent_is_parent_of_derived"": false, ""tests_failed"": true}",,"Internet access disabled
[32m.[0m[32m                                                                        [100%][0m
[32m[32m[1m1 passed[0m[32m in 0.02s[0m[0m
","<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject
"
swe,astropy__astropy-14182,medium,,astropy/astropy,5.1,astropy/astropy,astropy/astropy,a5917978be39d13cd90b517e1de4e7a539ffaa48,temporal_checkpoint,0,True,oracle,oracle,oracle,oracle,strace,21.722801,10.545058,0,0,0,0,oracle,0,0,,,3,"[0, 1, 2, 3, 4]","[""tmp/agenttx-swe-astropy__astropy-14182-temporal_checkpoint-0-tyzjnltd/repo/.agenttx_oracle.diff"", ""tmp/agenttx-swe-astropy__astropy-14182-temporal_checkpoint-0-tyzjnltd/repo/astropy"", ""tmp/agenttx-swe-astropy__astropy-14182-temporal_checkpoint-0-tyzjnltd/repo/astropy/io"", ""tmp/agenttx-swe-astropy__astropy-14182-temporal_checkpoint-0-tyzjnltd/repo/astropy/io/ascii"", ""tmp/agenttx-swe-astropy__astropy-14182-temporal_checkpoint-0-tyzjnltd/repo/astropy/io/ascii/rst.py""]",False,False,False,True,False,0,True,True,True,True,False,"{""prefix_steps"": [], ""root_step"": 0, ""independent_steps"": [1, 2], ""derived_step"": 3, ""test_run_step"": 4, ""root_is_parent_of_derived"": true, ""root_is_parent_of_tests"": true, ""independent_is_parent_of_derived"": false, ""tests_failed"": true}",,"Internet access disabled
[32m.[0m[32m                                                                        [100%][0m
[32m[32m[1m1 passed[0m[32m in 0.02s[0m[0m
","<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject
"
swe,astropy__astropy-14182,medium,,astropy/astropy,5.1,astropy/astropy,astropy/astropy,a5917978be39d13cd90b517e1de4e7a539ffaa48,whole_branch_abort,0,True,oracle,oracle,oracle,oracle,strace,21.632431,10.417847,0,0,0,0,oracle,0,0,,,3,"[0, 1, 2, 3, 4]","[""tmp/agenttx-swe-astropy__astropy-14182-whole_branch_abort-0-tptvquji/repo/.agenttx_oracle.diff"", ""tmp/agenttx-swe-astropy__astropy-14182-whole_branch_abort-0-tptvquji/repo/astropy"", ""tmp/agenttx-swe-astropy__astropy-14182-whole_branch_abort-0-tptvquji/repo/astropy/io"", ""tmp/agenttx-swe-astropy__astropy-14182-whole_branch_abort-0-tptvquji/repo/astropy/io/ascii"", ""tmp/agenttx-swe-astropy__astropy-14182-whole_branch_abort-0-tptvquji/repo/astropy/io/ascii/rst.py""]",False,False,False,True,False,0,True,True,True,True,False,"{""prefix_steps"": [], ""root_step"": 0, ""independent_steps"": [1, 2], ""derived_step"": 3, ""test_run_step"": 4, ""root_is_parent_of_derived"": true, ""root_is_parent_of_tests"": true, ""independent_is_parent_of_derived"": false, ""tests_failed"": true}",,"Internet access disabled
[32m.[0m[32m                                                                        [100%][0m
[32m[32m[1m1 passed[0m[32m in 0.02s[0m[0m
","<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject
"
swe,astropy__astropy-14365,short,,astropy/astropy,5.1,astropy/astropy,astropy/astropy,7269fa3e33e8d02485a647da91a5a2a60a06af61,causal,0,True,oracle,oracle,oracle,oracle,strace,28.839421,18.981062,0,0,0,0,oracle,0,0,,,3,"[0, 2, 3]","[""tmp/agenttx-swe-astropy__astropy-14365-causal-0-wmvuvzex/repo/.agenttx_oracle.diff"", ""tmp/agenttx-swe-astropy__astropy-14365-causal-0-wmvuvzex/repo/astropy"", ""tmp/agenttx-swe-astropy__astropy-14365-causal-0-wmvuvzex/repo/astropy/io"", ""tmp/agenttx-swe-astropy__astropy-14365-causal-0-wmvuvzex/repo/astropy/io/ascii"", ""tmp/agenttx-swe-astropy__astropy-14365-causal-0-wmvuvzex/repo/astropy/io/ascii/qdp.py""]",True,False,True,True,False,0,True,True,True,True,True,"{""prefix_steps"": [], ""root_step"": 0, ""independent_steps"": [1], ""derived_step"": 2, ""test_run_step"": 3, ""root_is_parent_of_derived"": true, ""root_is_parent_of_tests"": true, ""independent_is_parent_of_derived"": false, ""tests_failed"": true}",,"Internet access disabled
[32m.[0m[32m                                                                        [100%][0m
[32m[32m[1m1 passed[0m[32m in 0.03s[0m[0m
","<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject
"
swe,astropy__astropy-14365,short,,astropy/astropy,5.1,astropy/astropy,astropy/astropy,7269fa3e33e8d02485a647da91a5a2a60a06af61,temporal_checkpoint,0,True,oracle,oracle,oracle,oracle,strace,20.113172,10.615729,0,0,0,0,oracle,0,0,,,3,"[0, 1, 2, 3]","[""tmp/agenttx-swe-astropy__astropy-14365-temporal_checkpoint-0-7hse5j65/repo/.agenttx_oracle.diff"", ""tmp/agenttx-swe-astropy__astropy-14365-temporal_checkpoint-0-7hse5j65/repo/astropy"", ""tmp/agenttx-swe-astropy__astropy-14365-temporal_checkpoint-0-7hse5j65/repo/astropy/io"", ""tmp/agenttx-swe-astropy__astropy-14365-temporal_checkpoint-0-7hse5j65/repo/astropy/io/ascii"", ""tmp/agenttx-swe-astropy__astropy-14365-temporal_checkpoint-0-7hse5j65/repo/astropy/io/ascii/qdp.py""]",False,False,False,True,False,0,True,True,True,True,False,"{""prefix_steps"": [], ""root_step"": 0, ""independent_steps"": [1], ""derived_step"": 2, ""test_run_step"": 3, ""root_is_parent_of_derived"": true, ""root_is_parent_of_tests"": true, ""independent_is_parent_of_derived"": false, ""tests_failed"": true}",,"Internet access disabled
[32m.[0m[32m                                                                        [100%][0m
[32m[32m[1m1 passed[0m[32m in 0.03s[0m[0m
","<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject
"
swe,astropy__astropy-14365,short,,astropy/astropy,5.1,astropy/astropy,astropy/astropy,7269fa3e33e8d02485a647da91a5a2a60a06af61,whole_branch_abort,0,True,oracle,oracle,oracle,oracle,strace,20.05919,10.696614,0,0,0,0,oracle,0,0,,,3,"[0, 1, 2, 3]","[""tmp/agenttx-swe-astropy__astropy-14365-whole_branch_abort-0-r1sseu2j/repo/.agenttx_oracle.diff"", ""tmp/agenttx-swe-astropy__astropy-14365-whole_branch_abort-0-r1sseu2j/repo/astropy"", ""tmp/agenttx-swe-astropy__astropy-14365-whole_branch_abort-0-r1sseu2j/repo/astropy/io"", ""tmp/agenttx-swe-astropy__astropy-14365-whole_branch_abort-0-r1sseu2j/repo/astropy/io/ascii"", ""tmp/agenttx-swe-astropy__astropy-14365-whole_branch_abort-0-r1sseu2j/repo/astropy/io/ascii/qdp.py""]",False,False,False,True,False,0,True,True,True,True,False,"{""prefix_steps"": [], ""root_step"": 0, ""independent_steps"": [1], ""derived_step"": 2, ""test_run_step"": 3, ""root_is_parent_of_derived"": true, ""root_is_parent_of_tests"": true, ""independent_is_parent_of_derived"": false, ""tests_failed"": true}",,"Internet access disabled
[32m.[0m[32m                                                                        [100%][0m
[32m[32m[1m1 passed[0m[32m in 0.03s[0m[0m
","<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject
"
swe,astropy__astropy-14995,medium,,astropy/astropy,5.2,astropy/astropy,astropy/astropy,b16c7d12ccbc7b2d20364b89fb44285bcbfede54,causal,0,True,oracle,oracle,oracle,oracle,strace,30.381221,18.675989,0,0,0,0,oracle,0,0,,,3,"[0, 3, 4]","[""tmp/agenttx-swe-astropy__astropy-14995-causal-0-fj65_ync/repo/.agenttx_oracle.diff"", ""tmp/agenttx-swe-astropy__astropy-14995-causal-0-fj65_ync/repo/astropy"", ""tmp/agenttx-swe-astropy__astropy-14995-causal-0-fj65_ync/repo/astropy/nddata"", ""tmp/agenttx-swe-astropy__astropy-14995-causal-0-fj65_ync/repo/astropy/nddata/mixins"", ""tmp/agenttx-swe-astropy__astropy-14995-causal-0-fj65_ync/repo/astropy/nddata/mixins/ndarithmetic.py""]",True,False,True,True,False,0,True,True,True,True,True,"{""prefix_steps"": [], ""root_step"": 0, ""independent_steps"": [1, 2], ""derived_step"": 3, ""test_run_step"": 4, ""root_is_parent_of_derived"": true, ""root_is_parent_of_tests"": true, ""independent_is_parent_of_derived"": false, ""tests_failed"": true}",,"Internet access disabled
[32m.[0m[32m                                                                        [100%][0m
[32m[32m[1m1 passed[0m[32m in 0.31s[0m[0m
","<frozen importlib._bootstrap>:228: RuntimeWarning: numpy.ndarray size changed, may indicate binary incompatibility. Expected 80 from C header, got 96 from PyObject
"
