task,scale,repo,commit,issue_url,mode,repeat,provider,model,trace_backend,document_lines,wall_s,recovery_wall_s,prompt_tokens,completion_tokens,total_tokens,tool_calls,model_calls,recovery_ledger_steps,rollback_targets,regenerated_paths,independent_retained,independent_unchanged,documents_valid,solution_present,derived_removed,host_leak_before_commit,tests_rc,finished,finish_called,committed,success,error
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,causal,0,openrouter,deepseek/deepseek-v4-pro-0813,strace,16,96.250079,85.185296,18234,2611,20845,11,6,10,"[1, 3, 4]","['tmp/agenttx-github-short_requests_timeout-causal-0-nnuqia63/repo/agenttx_solution', 'tmp/agenttx-github-short_requests_timeout-causal-0-nnuqia63/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-short_requests_timeout-causal-0-nnuqia63/repo/agenttx_task_spec', 'tmp/agenttx-github-short_requests_timeout-causal-0-nnuqia63/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-short_requests_timeout-causal-0-nnuqia63/repo/recovery_notes/design.md', 'tmp/agenttx-github-short_requests_timeout-causal-0-nnuqia63/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,temporal_checkpoint,0,openrouter,deepseek/deepseek-v4-pro-0813,strace,16,90.193922,78.954054,17549,2298,19847,10,6,9,"[1, 2, 3, 4]","['tmp/agenttx-github-short_requests_timeout-temporal_checkpoint-0-mz2hs0y9/repo/agenttx_solution', 'tmp/agenttx-github-short_requests_timeout-temporal_checkpoint-0-mz2hs0y9/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-short_requests_timeout-temporal_checkpoint-0-mz2hs0y9/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-short_requests_timeout-temporal_checkpoint-0-mz2hs0y9/repo/recovery_notes', 'tmp/agenttx-github-short_requests_timeout-temporal_checkpoint-0-mz2hs0y9/repo/recovery_notes/design.md', 'tmp/agenttx-github-short_requests_timeout-temporal_checkpoint-0-mz2hs0y9/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,whole_branch_abort,0,openrouter,deepseek/deepseek-v4-pro-0813,strace,16,282.612699,271.517509,72379,11691,84070,18,12,17,"[0, 1, 2, 3, 4]","['tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-dcr4yayo/repo/README.md', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-dcr4yayo/repo/agenttx_solution', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-dcr4yayo/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-dcr4yayo/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-dcr4yayo/repo/pyproject.toml', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-dcr4yayo/repo/recovery_notes', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-dcr4yayo/repo/recovery_notes/design.md', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-dcr4yayo/repo/recovery_tests', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-dcr4yayo/repo/recovery_tests/test_task.py', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-dcr4yayo/repo/src/requests/_types.py', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-dcr4yayo/repo/src/requests/adapters.py']",True,False,True,True,True,False,0,True,True,True,True,
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,causal,0,openrouter,deepseek/deepseek-v4-pro-0813,strace,32,72.26159,59.193536,21769,1208,22977,10,6,9,"[1, 4, 5]","['tmp/agenttx-github-medium_flask_config-causal-0-wdzhco9u/repo/agenttx_solution', 'tmp/agenttx-github-medium_flask_config-causal-0-wdzhco9u/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-medium_flask_config-causal-0-wdzhco9u/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-medium_flask_config-causal-0-wdzhco9u/repo/recovery_notes/changelog.md', 'tmp/agenttx-github-medium_flask_config-causal-0-wdzhco9u/repo/recovery_notes/design.md', 'tmp/agenttx-github-medium_flask_config-causal-0-wdzhco9u/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,temporal_checkpoint,0,openrouter,deepseek/deepseek-v4-pro-0813,strace,32,118.000072,105.036861,28811,3214,32025,12,9,11,"[1, 2, 3, 4, 5]","['tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-i1ef2wjv/repo/agenttx_solution', 'tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-i1ef2wjv/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-i1ef2wjv/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-i1ef2wjv/repo/recovery_notes', 'tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-i1ef2wjv/repo/recovery_notes/changelog.md', 'tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-i1ef2wjv/repo/recovery_notes/design.md', 'tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-i1ef2wjv/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,whole_branch_abort,0,openrouter,deepseek/deepseek-v4-pro-0813,strace,32,250.279618,237.5655,69600,10624,80224,16,12,15,"[0, 1, 2, 3, 4, 5]","['tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-uly1pd4n/repo/README.md', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-uly1pd4n/repo/agenttx_solution', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-uly1pd4n/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-uly1pd4n/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-uly1pd4n/repo/pyproject.toml', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-uly1pd4n/repo/recovery_notes', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-uly1pd4n/repo/recovery_notes/changelog.md', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-uly1pd4n/repo/recovery_notes/design.md', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-uly1pd4n/repo/recovery_tests', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-uly1pd4n/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,causal,0,openrouter,deepseek/deepseek-v4-pro-0813,strace,64,119.328143,104.633927,45468,2521,47989,17,8,16,"[1, 5, 6]","['tmp/agenttx-github-long_pytest_plugin_selection-causal-0-9ojv8znp/repo/agenttx_solution', 'tmp/agenttx-github-long_pytest_plugin_selection-causal-0-9ojv8znp/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-long_pytest_plugin_selection-causal-0-9ojv8znp/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-long_pytest_plugin_selection-causal-0-9ojv8znp/repo/recovery_notes/changelog.md', 'tmp/agenttx-github-long_pytest_plugin_selection-causal-0-9ojv8znp/repo/recovery_notes/design.md', 'tmp/agenttx-github-long_pytest_plugin_selection-causal-0-9ojv8znp/repo/recovery_notes/validation.md', 'tmp/agenttx-github-long_pytest_plugin_selection-causal-0-9ojv8znp/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,temporal_checkpoint,0,openrouter,deepseek/deepseek-v4-pro-0813,strace,64,169.062166,154.701816,43944,6127,50071,15,8,14,"[1, 2, 3, 4, 5, 6]","['tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-a1e77jc1/repo/agenttx_solution', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-a1e77jc1/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-a1e77jc1/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-a1e77jc1/repo/recovery_notes', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-a1e77jc1/repo/recovery_notes/changelog.md', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-a1e77jc1/repo/recovery_notes/design.md', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-a1e77jc1/repo/recovery_notes/validation.md', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-a1e77jc1/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,whole_branch_abort,0,openrouter,deepseek/deepseek-v4-pro-0813,strace,64,480.686601,466.04132,280149,18858,299007,33,25,31,"[0, 1, 2, 3, 4, 5, 6]","['tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/agenttx_solution', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/recovery_notes', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/recovery_notes/changelog.md', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/recovery_notes/design.md', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/recovery_notes/validation.md', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/recovery_tests', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/recovery_tests/test_task.py', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest/__pycache__', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest/__pycache__/__init__.cpython-38.pyc', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest/_code', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest/_code/__pycache__', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest/_code/__pycache__/__init__.cpython-38.pyc', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest/_code/__pycache__/code.cpython-38.pyc', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest/config', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest/config/__init__.py', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest/config/__pycache__', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest/config/__pycache__/__init__.cpython-38.pyc', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest/config/__pycache__/exceptions.cpython-38.pyc', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/_pytest/config/__pycache__/findpaths.cpython-38.pyc', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/pytest', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/pytest/__pycache__', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-aqmu3z2h/repo/src/pytest/__pycache__/__init__.cpython-38.pyc']",True,False,True,True,True,False,0,True,True,True,True,
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,causal,0,openrouter,deepseek/deepseek-v4-flash-0731,strace,16,68.019965,56.672641,19401,1384,20785,10,7,9,"[1, 3, 4]","['tmp/agenttx-github-short_requests_timeout-causal-0-a_tbpvss/repo/agenttx_solution', 'tmp/agenttx-github-short_requests_timeout-causal-0-a_tbpvss/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-short_requests_timeout-causal-0-a_tbpvss/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-short_requests_timeout-causal-0-a_tbpvss/repo/recovery_notes/design.md', 'tmp/agenttx-github-short_requests_timeout-causal-0-a_tbpvss/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
