task,scale,repo,commit,issue_url,mode,repeat,provider,model,trace_backend,document_lines,wall_s,recovery_wall_s,prompt_tokens,completion_tokens,total_tokens,tool_calls,model_calls,recovery_ledger_steps,rollback_targets,regenerated_paths,independent_retained,independent_unchanged,documents_valid,solution_present,derived_removed,host_leak_before_commit,tests_rc,finished,finish_called,committed,success,error
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,causal,0,jojocode,gpt-5.6-sol,strace,16,123.036946,106.853324,16373,1688,18061,12,7,11,"[1, 3, 4]","['tmp/agenttx-github-short_requests_timeout-causal-0-06sxa4ri/repo/agenttx_solution', 'tmp/agenttx-github-short_requests_timeout-causal-0-06sxa4ri/repo/agenttx_solution/__init__.py', 'tmp/agenttx-github-short_requests_timeout-causal-0-06sxa4ri/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-short_requests_timeout-causal-0-06sxa4ri/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-short_requests_timeout-causal-0-06sxa4ri/repo/recovery_notes/design.md', 'tmp/agenttx-github-short_requests_timeout-causal-0-06sxa4ri/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,temporal_checkpoint,0,jojocode,gpt-5.6-sol,strace,16,101.303984,85.491902,14253,2237,16490,11,6,10,"[1, 2, 3, 4]","['tmp/agenttx-github-short_requests_timeout-temporal_checkpoint-0-5pwa3qbo/repo/agenttx_solution', 'tmp/agenttx-github-short_requests_timeout-temporal_checkpoint-0-5pwa3qbo/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-short_requests_timeout-temporal_checkpoint-0-5pwa3qbo/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-short_requests_timeout-temporal_checkpoint-0-5pwa3qbo/repo/recovery_notes', 'tmp/agenttx-github-short_requests_timeout-temporal_checkpoint-0-5pwa3qbo/repo/recovery_notes/design.md', 'tmp/agenttx-github-short_requests_timeout-temporal_checkpoint-0-5pwa3qbo/repo/recovery_tests/test_task.py']",False,False,False,True,True,False,0,True,True,True,False,
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,whole_branch_abort,0,jojocode,gpt-5.6-sol,strace,16,110.899672,97.487966,17747,2912,20659,13,8,12,"[0, 1, 2, 3, 4]","['tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-33wp1cj0/repo/agenttx_solution', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-33wp1cj0/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-33wp1cj0/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-33wp1cj0/repo/recovery_notes', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-33wp1cj0/repo/recovery_notes/design.md', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-33wp1cj0/repo/recovery_tests', 'tmp/agenttx-github-short_requests_timeout-whole_branch_abort-0-33wp1cj0/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,causal,0,jojocode,gpt-5.6-sol,strace,32,120.067968,107.016777,24125,1607,25732,11,8,10,"[1, 4, 5]","['tmp/agenttx-github-medium_flask_config-causal-0-nmge92qr/repo/agenttx_solution', 'tmp/agenttx-github-medium_flask_config-causal-0-nmge92qr/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-medium_flask_config-causal-0-nmge92qr/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-medium_flask_config-causal-0-nmge92qr/repo/recovery_notes/changelog.md', 'tmp/agenttx-github-medium_flask_config-causal-0-nmge92qr/repo/recovery_notes/design.md', 'tmp/agenttx-github-medium_flask_config-causal-0-nmge92qr/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,temporal_checkpoint,0,jojocode,gpt-5.6-sol,strace,32,88.277812,74.085925,11731,2123,13854,11,5,10,"[1, 2, 3, 4, 5]","['tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-3llac4pl/repo/agenttx_solution', 'tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-3llac4pl/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-3llac4pl/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-3llac4pl/repo/recovery_notes', 'tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-3llac4pl/repo/recovery_notes/changelog.md', 'tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-3llac4pl/repo/recovery_notes/design.md', 'tmp/agenttx-github-medium_flask_config-temporal_checkpoint-0-3llac4pl/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
medium_flask_config,medium,pallets/flask,d318b683471101618febed18996405ad26462110,https://github.com/pallets/flask/issues/3219,whole_branch_abort,0,jojocode,gpt-5.6-sol,strace,32,148.758739,135.639705,15938,3077,19015,11,7,10,"[0, 1, 2, 3, 4, 5]","['tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-umivdvuv/repo/agenttx_solution', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-umivdvuv/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-umivdvuv/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-umivdvuv/repo/recovery_build', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-umivdvuv/repo/recovery_notes', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-umivdvuv/repo/recovery_notes/changelog.md', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-umivdvuv/repo/recovery_notes/design.md', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-umivdvuv/repo/recovery_tests', 'tmp/agenttx-github-medium_flask_config-whole_branch_abort-0-umivdvuv/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,causal,0,jojocode,gpt-5.6-sol,strace,64,74.843076,59.983008,11257,1414,12671,9,5,8,"[1, 5, 6]","['tmp/agenttx-github-long_pytest_plugin_selection-causal-0-mmixp3bo/repo/agenttx_solution', 'tmp/agenttx-github-long_pytest_plugin_selection-causal-0-mmixp3bo/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-long_pytest_plugin_selection-causal-0-mmixp3bo/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-long_pytest_plugin_selection-causal-0-mmixp3bo/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,temporal_checkpoint,0,jojocode,gpt-5.6-sol,strace,64,140.786551,124.825815,22149,4063,26212,17,6,16,"[1, 2, 3, 4, 5, 6]","['tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-3kdvdf21/repo/agenttx_solution', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-3kdvdf21/repo/agenttx_solution/__init__.py', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-3kdvdf21/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-3kdvdf21/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-3kdvdf21/repo/recovery_notes', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-3kdvdf21/repo/recovery_notes/changelog.md', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-3kdvdf21/repo/recovery_notes/design.md', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-3kdvdf21/repo/recovery_notes/validation.md', 'tmp/agenttx-github-long_pytest_plugin_selection-temporal_checkpoint-0-3kdvdf21/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
long_pytest_plugin_selection,long,pytest-dev/pytest,8f84744c418689e7b723d50aca54cd9d6c33af2e,https://github.com/pytest-dev/pytest/issues/5822,whole_branch_abort,0,jojocode,gpt-5.6-sol,strace,64,224.771029,209.028692,61036,5382,66418,18,11,16,"[0, 1, 2, 3, 4, 5, 6]","['tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-xo8vchx8/repo/agenttx_solution', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-xo8vchx8/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-xo8vchx8/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-xo8vchx8/repo/recovery_notes', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-xo8vchx8/repo/recovery_notes/changelog.md', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-xo8vchx8/repo/recovery_notes/design.md', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-xo8vchx8/repo/recovery_notes/validation.md', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-xo8vchx8/repo/recovery_tests', 'tmp/agenttx-github-long_pytest_plugin_selection-whole_branch_abort-0-xo8vchx8/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
short_requests_timeout,short,psf/requests,8068356288978c4f54661ae6f95afe0e0831885e,https://github.com/psf/requests/issues/5227,causal,0,jojocode,gpt-5.6-terra,strace,16,197.637853,185.170754,19815,1073,20888,11,8,10,"[1, 3, 4]","['tmp/agenttx-github-short_requests_timeout-causal-0-8bzbve_x/repo/agenttx_solution', 'tmp/agenttx-github-short_requests_timeout-causal-0-8bzbve_x/repo/agenttx_solution/__init__.py', 'tmp/agenttx-github-short_requests_timeout-causal-0-8bzbve_x/repo/agenttx_solution/solution.py', 'tmp/agenttx-github-short_requests_timeout-causal-0-8bzbve_x/repo/agenttx_task_spec/TASK.md', 'tmp/agenttx-github-short_requests_timeout-causal-0-8bzbve_x/repo/recovery_notes/design.md', 'tmp/agenttx-github-short_requests_timeout-causal-0-8bzbve_x/repo/recovery_tests/test_task.py']",True,False,True,True,True,False,0,True,True,True,True,
