mode,document_lines,repeat,provider,model,max_turns,finish_called,finished,committed,policy_ms,recovery_wall_s,prompt_tokens,completion_tokens,total_tokens,tool_calls,model_calls,recovery_ledger_steps,rollback_targets,policy_targets_correct,expected_regenerated_documents,regenerated_documents,regenerated_document_count,regeneration_compliant,unauthorized_rollback,host_polluted_before_commit,design_valid,changelog_valid,pipeline_restored,derived_removed,tests_rc,success,error
causal,12,0,deepseek,deepseek-v4-flash,20,True,True,True,231.066835,24.493587,26860,2092,28952,13,6,12,"[1, 3, 4]",True,[],[],0,True,False,False,True,True,True,True,0,True,
causal,12,1,deepseek,deepseek-v4-flash,20,True,True,True,231.983744,21.36788,26102,1830,27932,10,5,9,"[1, 3, 4]",True,[],[],0,True,False,False,True,True,True,True,0,True,
temporal_checkpoint,12,0,deepseek,deepseek-v4-flash,20,True,True,True,224.416894,41.753812,91836,4021,95857,10,9,8,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]","[""docs/changelog.md""]",1,True,False,False,True,False,True,True,0,False,
temporal_checkpoint,12,1,deepseek,deepseek-v4-flash,20,True,True,True,224.33004,28.584822,44569,2490,47059,13,8,12,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]","[""docs/changelog.md""]",1,True,False,False,True,False,True,True,0,False,
whole_branch_abort,12,0,deepseek,deepseek-v4-flash,20,True,True,True,222.923463,66.382164,127726,7170,134896,20,11,19,"[0, 1, 2, 3, 4]",True,"[""docs/design.md"", ""docs/changelog.md""]","[""docs/design.md"", ""docs/changelog.md""]",2,True,False,False,False,False,True,True,0,False,
whole_branch_abort,12,1,deepseek,deepseek-v4-flash,20,True,True,True,224.508916,34.455428,73631,3733,77364,18,11,17,"[0, 1, 2, 3, 4]",True,"[""docs/design.md"", ""docs/changelog.md""]","[""docs/design.md"", ""docs/changelog.md""]",2,True,False,False,False,False,True,True,0,False,
causal,24,0,deepseek,deepseek-v4-flash,20,True,True,True,181.179293,31.654644,58861,3658,62519,16,8,15,"[1, 3, 4]",True,[],[],0,True,False,False,True,True,True,True,0,True,
causal,24,1,deepseek,deepseek-v4-flash,20,True,True,True,182.089149,19.341538,24348,1907,26255,9,5,8,"[1, 3, 4]",True,[],[],0,True,False,False,True,True,True,True,0,True,
temporal_checkpoint,24,0,deepseek,deepseek-v4-flash,20,True,True,True,173.037143,22.884932,42130,2338,44468,12,7,11,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]","[""docs/changelog.md""]",1,True,False,False,True,False,True,True,0,False,
temporal_checkpoint,24,1,deepseek,deepseek-v4-flash,20,True,True,True,173.812917,19.994829,32733,1916,34649,11,6,10,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]","[""docs/changelog.md""]",1,True,False,False,True,False,True,True,0,False,
whole_branch_abort,24,0,deepseek,deepseek-v4-flash,20,True,True,True,173.054636,58.744024,116560,6157,122717,19,11,18,"[0, 1, 2, 3, 4]",True,"[""docs/design.md"", ""docs/changelog.md""]","[""docs/design.md"", ""docs/changelog.md""]",2,True,False,False,False,False,True,True,0,False,
whole_branch_abort,24,1,deepseek,deepseek-v4-flash,20,True,True,True,224.976643,36.650435,77293,4005,81298,16,10,15,"[0, 1, 2, 3, 4]",True,"[""docs/design.md"", ""docs/changelog.md""]","[""docs/design.md"", ""docs/changelog.md""]",2,True,False,False,False,False,True,True,0,False,
causal,48,0,deepseek,deepseek-v4-flash,20,True,True,True,232.658881,35.399536,58901,3586,62487,14,8,13,"[1, 3, 4]",True,[],[],0,True,False,False,True,True,True,True,0,True,
causal,48,1,deepseek,deepseek-v4-flash,20,True,True,True,232.960677,24.816415,58261,2264,60525,11,7,9,"[1, 3, 4]",True,[],[],0,True,False,False,True,True,True,True,0,True,
temporal_checkpoint,48,0,deepseek,deepseek-v4-flash,20,True,True,True,174.740648,27.987754,50820,3145,53965,10,7,9,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]","[""docs/changelog.md""]",1,True,False,False,True,False,True,True,0,False,
temporal_checkpoint,48,1,deepseek,deepseek-v4-flash,20,True,True,True,224.201189,37.48793,54269,4787,59056,14,7,13,"[1, 2, 3, 4]",True,"[""docs/changelog.md""]","[""docs/design.md"", ""docs/changelog.md""]",2,False,False,False,False,False,True,True,0,False,
whole_branch_abort,48,0,deepseek,deepseek-v4-flash,20,True,True,True,223.950228,47.367553,89816,5594,95410,20,10,19,"[0, 1, 2, 3, 4]",True,"[""docs/design.md"", ""docs/changelog.md""]","[""docs/design.md"", ""docs/changelog.md""]",2,True,False,False,False,False,True,True,0,False,
whole_branch_abort,48,1,deepseek,deepseek-v4-flash,20,True,True,True,223.822949,51.146431,113786,5879,119665,20,12,19,"[0, 1, 2, 3, 4]",True,"[""docs/design.md"", ""docs/changelog.md""]","[""docs/design.md"", ""docs/changelog.md""]",2,True,False,False,False,False,True,True,0,False,
